Team,Seed,Wins,Losses,Win Pct,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,3FG Made,3FG Att,3FG Pct,AstTORatio,FoulsPG,3FG PG,FG%,Total RPG,FT%,Assists PG,Off Rebs PG,Steals,Steals PG,Blocks,Blocks PG,Turns forced,Turns committed,Turn Ratio
Texas Southern,15,22,12,64.7,34,22-12,2318,68.2,2293,67.4,0.7,180,562,32,0.83,17.4,5.3,44.4,34.53,66.2,10.9,11.35,209,6.1,106,3.1,419,445,-0.8
UAB,14,19,15,55.9,34,19-15,2341,68.9,2301,67.7,1.2,187,563,33.2,1.06,17.6,5.5,43,36.59,74.1,14.4,11.85,225,6.6,176,5.2,452,461,-0.3
UC Irvine,13,21,12,63.6,33,21-12,2240,67.9,2056,62.3,5.6,212,544,39,1.23,17.2,6.4,46.1,35.42,68.3,14.2,9.7,189,5.7,166,5,375,382,-0.2
UCLA,11,20,13,60.6,33,20-13,2376,72,2245,68,4,205,564,36.3,1.17,17.9,6.2,44.1,37.97,67.6,13.9,12.3,226,6.8,123,3.7,416,392,0.7
UNI,5,30,3,90.9,33,30-3,2157,65.4,1792,54.3,11.1,242,608,39.8,1.14,14.4,7.3,48.3,30.82,72.6,11.9,7.21,196,5.9,82,2.5,372,346,0.8
Utah,5,24,8,75,32,24-8,2307,72.1,1822,56.9,15.2,247,611,40.4,1.25,16.7,7.7,48.5,34.91,69.9,14.3,9.25,190,5.9,161,5,373,366,0.2
Valparaiso,13,28,5,84.8,33,28-5,2304,69.8,1956,59.3,10.5,224,593,37.8,1.04,16.5,6.8,45.9,37.73,67.8,13.1,11.7,198,6,157,4.8,404,413,-0.3
VCU,7,26,9,74.3,35,26-9,2537,72.5,2293,65.5,7,283,828,34.2,1.18,19.2,8.1,42,35.43,65.6,12.6,12.31,338,9.7,151,4.3,566,373,5.5
Villanova,1,32,2,94.1,34,32-2,2593,76.3,2070,60.9,15.4,306,787,38.9,1.47,16.6,9,47,34.41,72.7,15.9,10.32,265,7.8,137,4,483,369,3.4
Virginia,2,29,3,90.6,32,29-3,2091,65.3,1622,50.7,14.7,162,449,36.1,1.36,14.3,5.1,46.3,36.19,72.3,12.9,10.28,179,5.6,137,4.3,341,304,1.2
West Virginia,5,23,9,71.9,32,23-9,2366,73.9,2139,66.8,7.1,213,669,31.8,1.11,23.3,6.7,41.2,36.78,66,14.5,16.84,350,10.9,91,2.8,628,418,6.6
Wichita St.,7,28,4,87.5,32,28-4,2231,69.7,1786,55.8,13.9,224,619,36.2,1.48,16.7,7,44.6,35.56,68.8,13.9,11.88,225,7,122,3.8,426,301,3.9
Wisconsin,1,31,3,91.2,34,31-3,2444,71.9,1908,56.1,15.8,237,663,35.7,1.71,12,7,48,33.68,76.3,12.7,9.47,154,4.5,119,3.5,339,252,2.6
Wofford,12,28,6,82.4,34,28-6,2278,67,2033,59.8,7.2,215,572,37.6,1.22,16.9,6.3,45.8,32.41,68.9,13.4,9.12,223,6.6,86,2.5,435,371,1.9
Wyoming,12,25,9,73.5,34,25-9,2097,61.7,1903,56,5.7,200,620,32.3,1.28,13.6,5.9,46.2,30.15,70.7,14.3,6.24,189,5.6,99,2.9,370,380,-0.3
Xavier,6,21,13,61.8,34,21-13,2501,73.6,2300,67.6,5.9,214,613,34.9,1.36,18.1,6.3,47.3,34.82,72.5,16.4,10,207,6.1,97,2.9,440,411,0.9
